po_number,gr_quantity,actual_delivery_date
PO1317,149,13/04/2026
PO1318,468,05/05/2026
PO1320,50,08/05/2026
PO1321,50,08/02/2026
PO1322,95,11/05/2026
PO1323,324,08/04/2026
PO1324,196,13/05/2026
PO1325,444,26/02/2026
PO1326,130,04/02/2026
PO1327,26,16/06/2026
PO1328,237,15/04/2026
PO1329,213,24/04/2026
PO1330,386,23/01/2026
PO1331,144,27/02/2026
PO1332,365,26/03/2026
PO1333,446,25/02/2026
PO1334,351,04/04/2026
PO1335,374,21/02/2026
PO1336,124,19/05/2026
PO1338,76,17/06/2026
PO1339,377,01/05/2026
PO1340,27,05/06/2026
PO1341,353,12/05/2026
PO1342,262,30/04/2026
PO1343,165,20/02/2026
PO1344,468,26/05/2026
PO1345,150,29/05/2026
PO1346,313,25/02/2026
PO1347,441,02/04/2026
PO1348,499,25/01/2026
PO1349,402,01/03/2026
PO1350,158,10/06/2026
PO1351,162,19/04/2026
PO1352,222,09/05/2026
PO1353,170,27/02/2026
PO1354,399,12/02/2026
PO1355,248,16/03/2026
PO1356,35,13/02/2026
PO1357,426,26/02/2026
PO1358,265,28/02/2026
PO1359,21,31/05/2026
PO1360,120,07/03/2026
PO1361,315,25/05/2026
PO1362,14,29/05/2026
PO1363,401,22/04/2026
PO1364,297,08/06/2026
PO1365,268,20/04/2026
PO1366,75,03/03/2026
PO1367,507,04/06/2026
PO1368,215,17/05/2026
PO1370,81,29/05/2026
PO1371,325,10/05/2026
PO1372,282,25/05/2026
PO1373,207,22/01/2026
PO1374,417,23/03/2026
PO1375,145,15/05/2026
PO1376,308,30/01/2026
PO1377,26,12/03/2026
PO1378,235,22/01/2026
PO1379,220,15/03/2026
PO1380,371,30/01/2026
PO1381,283,20/05/2026
PO1382,289,13/04/2026
PO1383,108,05/06/2026
PO1385,188,16/05/2026
PO1386,317,20/02/2026
PO1387,158,14/02/2026
PO1388,345,06/05/2026
PO1389,148,02/06/2026
PO1390,325,08/02/2026
PO1394,397,08/03/2026
PO1395,474,04/02/2026
PO1397,413,25/04/2026
PO1398,162,27/01/2026
PO1399,338,08/05/2026
PO1400,149,14/05/2026
PO1401,341,04/05/2026
PO1402,414,08/04/2026
PO1403,433,19/04/2026
PO1404,110,20/02/2026
PO1405,143,02/02/2026
PO1406,308,02/04/2026
PO1407,379,09/04/2026
PO1408,91,01/04/2026
PO1409,337,17/02/2026
PO1410,122,08/03/2026
PO1411,222,15/04/2026
PO1413,67,01/07/2026
PO1414,284,15/06/2026
PO1415,358,21/02/2026
PO1416,238,20/05/2026
PO1417,250,06/05/2026
PO1418,380,25/03/2026
PO1419,306,24/03/2026
PO1421,219,16/04/2026
PO1422,239,26/04/2026
PO1424,211,28/05/2026
PO1425,162,26/01/2026
PO1426,431,23/04/2026
PO1427,90,18/03/2026
PO1428,323,29/04/2026
PO1429,61,22/01/2026
PO1430,215,04/02/2026
PO1432,131,15/04/2026
PO1433,163,25/04/2026
PO1434,294,05/05/2026
PO1435,366,05/04/2026
PO1436,396,28/02/2026
PO1437,402,25/02/2026
PO1439,338,13/04/2026
PO1440,380,01/06/2026
PO1441,457,24/01/2026
PO1442,455,26/02/2026
PO1443,389,08/03/2026
PO1444,213,07/03/2026
PO1445,248,20/04/2026
PO1446,272,13/04/2026
PO1447,399,25/05/2026
PO1448,33,26/04/2026
PO1449,293,24/03/2026
PO1450,110,21/02/2026
PO1451,345,01/06/2026
PO1452,245,14/05/2026
PO1453,260,27/05/2026
PO1454,439,15/01/2026
PO1455,80,22/04/2026
PO1456,14,16/03/2026
PO1458,281,21/01/2026
PO1459,426,18/05/2026
PO1460,278,21/02/2026
PO1461,146,18/04/2026
PO1462,299,10/05/2026
PO1463,344,29/01/2026
PO1464,204,10/05/2026
PO1465,369,22/01/2026
PO1466,299,15/04/2026
PO1467,118,22/03/2026
PO1468,483,19/01/2026
PO1470,485,22/04/2026
PO1471,356,25/04/2026
PO1472,414,10/02/2026
PO1473,37,06/04/2026
PO1474,406,26/04/2026
PO1475,126,26/05/2026
PO1477,52,29/01/2026
PO1478,172,13/04/2026
PO1480,230,08/03/2026
PO1481,23,05/02/2026
PO1482,452,10/04/2026
PO1483,381,14/02/2026
PO1484,96,19/04/2026
PO1485,48,27/02/2026
PO1486,410,15/05/2026
PO1487,314,16/05/2026
PO1488,13,04/04/2026
PO1489,181,02/05/2026
PO1490,330,14/04/2026
PO1491,213,09/03/2026
PO1492,176,22/03/2026
PO1493,112,02/06/2026
PO1494,23,02/06/2026
PO1495,435,03/04/2026
PO1496,133,05/04/2026
PO1497,239,05/02/2026
PO1498,482,29/05/2026
PO1499,414,17/01/2026
PO1501,395,23/04/2026
PO1502,142,16/02/2026
PO1503,362,16/06/2026
PO1504,405,20/05/2026
PO1505,22,17/04/2026
PO1507,243,17/04/2026
PO1508,59,20/05/2026
PO1509,163,25/01/2026
PO1510,341,23/04/2026
PO1511,292,02/03/2026
PO1512,418,12/03/2026
PO1513,212,30/04/2026
PO1514,209,02/05/2026
PO1515,305,29/01/2026
PO1516,110,15/04/2026
PO1517,315,01/04/2026
PO1518,442,16/04/2026
PO1519,354,11/02/2026
PO1520,103,19/02/2026
PO1521,296,08/05/2026
PO1522,335,03/06/2026
PO1523,260,01/03/2026
PO1524,453,05/02/2026
PO1525,427,11/03/2026
PO1526,219,24/05/2026
PO1527,52,15/03/2026
PO1528,150,20/01/2026
PO1529,390,16/06/2026
PO1530,68,23/06/2026
PO1531,399,24/01/2026
PO1533,240,10/02/2026
PO1534,117,20/03/2026
PO1535,94,02/05/2026
PO1536,189,05/06/2026
PO1537,158,25/03/2026
PO1538,480,25/04/2026
PO1539,137,15/02/2026
PO1540,260,07/05/2026
PO1541,202,26/04/2026
PO1542,393,31/05/2026
PO1543,307,30/03/2026
PO1544,341,20/05/2026
PO1545,121,02/05/2026
PO1546,434,16/04/2026
PO1547,413,13/05/2026
PO1548,330,02/02/2026
PO1549,235,21/02/2026
PO1550,461,18/02/2026
PO1551,150,14/04/2026
PO1552,330,23/04/2026
PO1553,370,15/02/2026
PO1554,313,24/02/2026
PO1555,366,22/01/2026
PO1557,62,06/02/2026
PO1558,338,12/02/2026
PO1559,14,13/06/2026
PO1560,331,13/03/2026
PO1561,469,30/01/2026
PO1562,189,19/04/2026
PO1563,354,24/03/2026
PO1565,106,30/05/2026
PO1567,190,23/01/2026
PO1568,197,17/05/2026
PO1569,310,18/01/2026
PO1570,495,01/02/2026
PO1571,402,28/05/2026
PO1572,285,25/05/2026
PO1573,264,07/02/2026
PO1574,334,06/06/2026
PO1575,383,28/04/2026
PO1576,483,13/02/2026
PO1577,71,18/02/2026
PO1578,497,10/06/2026
PO1579,74,16/04/2026
PO1580,423,02/04/2026
PO1581,331,17/06/2026
PO1582,265,31/01/2026
PO1583,405,13/03/2026
PO1584,11,09/06/2026
PO1585,196,22/05/2026
PO1586,421,27/06/2026
PO1587,137,10/04/2026
PO1588,302,27/01/2026
PO1589,421,17/03/2026
PO1590,453,13/05/2026
PO1591,243,11/06/2026
PO1592,388,02/04/2026
PO1593,405,18/05/2026
PO1594,487,20/01/2026
PO1595,496,21/01/2026
PO1596,63,09/04/2026
PO1597,86,23/01/2026
PO1598,221,16/06/2026
PO1599,307,25/02/2026
PO1600,41,08/06/2026
PO1601,445,24/03/2026
PO1602,165,07/05/2026
PO1603,89,16/02/2026
PO1606,433,09/04/2026
PO1607,85,10/04/2026
PO1609,447,26/04/2026
PO1610,66,07/05/2026
PO1611,454,27/01/2026
PO1612,200,05/05/2026
PO1613,142,25/06/2026
PO1614,472,27/02/2026
PO1615,31,10/02/2026
PO1616,430,27/04/2026
PO1617,88,20/05/2026
PO1618,462,05/05/2026
PO1619,265,26/04/2026
PO1620,153,01/02/2026
PO1621,137,21/05/2026
PO1622,255,18/04/2026
PO1623,174,13/05/2026
PO1624,25,10/03/2026
PO1625,281,14/05/2026
PO1626,136,02/02/2026
PO1627,431,22/06/2026
PO1628,131,04/03/2026
PO1629,370,16/01/2026
PO1630,438,03/03/2026
PO1631,29,23/05/2026
PO1632,254,27/05/2026
PO1633,377,02/04/2026
PO1634,328,14/02/2026
PO1636,182,03/02/2026
PO1637,415,05/05/2026
PO1638,365,07/06/2026
PO1639,427,22/06/2026
PO1640,383,06/03/2026
PO1641,103,19/01/2026
PO1642,63,10/06/2026
PO1643,131,09/02/2026
PO1644,430,08/02/2026
PO1645,145,10/01/2026
PO1646,412,14/03/2026
PO1647,385,10/05/2026
PO1648,189,25/04/2026
PO1649,85,13/03/2026
PO1650,143,07/04/2026
PO1651,92,13/04/2026
PO1652,370,15/05/2026
PO1653,90,02/05/2026
PO1654,366,29/04/2026
PO1655,162,01/04/2026
PO1656,440,07/06/2026
PO1657,54,11/05/2026
PO1658,23,08/02/2026
PO1659,442,24/05/2026
PO1660,50,20/03/2026
PO1661,199,21/04/2026
PO1662,144,08/05/2026
PO1663,53,11/02/2026
PO1664,293,21/03/2026
PO1665,361,29/05/2026
PO1666,50,09/04/2026
PO1667,471,07/06/2026
PO1668,98,08/05/2026
PO1669,31,19/02/2026
PO1670,457,02/03/2026
PO1671,294,21/04/2026
PO1672,479,20/05/2026
PO1673,222,05/02/2026
PO1674,409,10/06/2026
PO1675,206,28/03/2026
PO1676,151,02/03/2026
PO1677,465,24/04/2026
PO1678,481,06/05/2026
PO1679,169,25/03/2026
PO1680,163,20/02/2026
PO1681,319,08/05/2026
PO1682,397,02/05/2026
PO1683,415,04/06/2026
PO1684,419,10/02/2026
PO1685,458,01/03/2026
PO1686,35,08/05/2026
PO1687,431,15/04/2026
PO1688,133,26/01/2026
PO1689,310,12/05/2026
PO1690,155,05/02/2026
PO1691,448,08/03/2026
PO1692,272,19/04/2026
PO1693,341,24/02/2026
PO1695,446,17/04/2026
PO1696,356,21/04/2026
PO1697,13,13/02/2026
PO1698,162,19/03/2026
PO1699,337,24/03/2026
