po_number,invoice_number,invoice_quantity,invoice_unit_price,invoice_date
PO1076,INV5080,214,137.51,30/05/2026
PO1077,INV5081,459,204.47,17/02/2026
PO1078,INV5082,315,89.74,21/02/2026
PO1078,INV5083,315,89.74,22/02/2026
PO1079,INV5084,69,80.11,24/05/2026
PO1080,INV5085,372,90.03,27/01/2026
PO1081,INV5086,45,190.03,12/05/2026
PO1082,INV5087,378,180.51,24/02/2026
PO1083,INV5088,177,83.47,03/05/2026
PO1084,INV5089,350,188.37,29/04/2026
PO1085,INV5090,164,84.18,17/06/2026
PO1086,INV5091,230,158.22,12/03/2026
PO1087,INV5092,236,136.75,16/05/2026
PO1088,INV5093,347,22.96,02/03/2026
PO1089,INV5094,354,65.53,14/03/2026
PO1090,INV5095,135,196.87,28/01/2026
PO1091,INV5096,463,127.8,07/05/2026
PO1092,INV5097,134,33.78,21/04/2026
PO1093,INV5098,122,39.3,17/05/2026
PO1094,INV5099,295,62.98,09/02/2026
PO1095,INV5100,351,108.57,16/05/2026
PO1096,INV5101,228,166.96,05/06/2026
PO1097,INV5102,240,55.54,18/05/2026
PO1098,INV5103,330,51.65,16/05/2026
PO1099,INV5104,130,57.98,29/03/2026
PO1100,INV5105,128,79.69,28/02/2026
PO1101,INV5106,218,69.52,06/05/2026
PO1102,INV5107,436,86.93,08/03/2026
PO1103,INV5108,254,6.75,25/04/2026
PO1104,INV5109,285,150.77,01/05/2026
PO1105,INV5110,149,89.99,25/03/2026
PO1106,INV5111,380,37.18,02/05/2026
PO1107,INV5112,23,181.85,31/05/2026
PO1108,INV5113,79,174.04,02/05/2026
PO1109,INV5114,177,50.53,02/05/2026
PO1110,INV5115,395,190.48,02/04/2026
PO1111,INV5116,19,151.06,26/05/2026
PO1112,INV5117,409,191.67,31/01/2026
PO1113,INV5118,439,8.97,12/03/2026
PO1114,INV5119,352,27.31,23/05/2026
PO1114,INV5120,352,27.31,26/05/2026
PO1115,INV5121,402,76.93,18/03/2026
PO1116,INV5122,65,117.84,11/04/2026
PO1117,INV5123,48,120.46,13/03/2026
PO1118,INV5124,445,138.43,26/03/2026
PO1118,INV5125,445,138.43,31/03/2026
PO1119,INV5126,229,134,11/06/2026
PO1120,INV5127,16,170.67,13/04/2026
PO1121,INV5128,335,178.86,13/04/2026
PO1122,INV5129,385,106.74,09/03/2026
PO1123,INV5130,406,113.94,02/06/2026
PO1124,INV5131,435,187.25,24/03/2026
PO1125,INV5132,301,124.01,24/05/2026
PO1126,INV5133,445,68.38,27/05/2026
PO1127,INV5134,184,59.53,26/03/2026
PO1128,INV5135,274,189.87,25/01/2026
PO1129,INV5136,260,113.26,14/05/2026
PO1130,INV5137,239,159.62,29/05/2026
PO1131,INV5138,364,52.44,06/05/2026
PO1132,INV5139,281,72.03,13/06/2026
PO1133,INV5140,148,68.63,08/05/2026
PO1134,INV5141,171,28.31,07/03/2026
PO1135,INV5142,388,99.42,27/03/2026
PO1136,INV5143,61,167.36,31/03/2026
PO1137,INV5144,164,7.76,04/03/2026
PO1138,INV5145,37,112.9,28/01/2026
PO1139,INV5146,62,175.18,23/05/2026
PO1140,INV5147,235,71.44,25/05/2026
PO1141,INV5148,430,17.74,10/02/2026
PO1142,INV5149,87,36.6,06/02/2026
PO1143,INV5150,70,113.82,27/03/2026
PO1144,INV5151,240,182.16,02/05/2026
PO1145,INV5152,327,17.96,09/06/2026
PO1146,INV5153,145,133.78,13/03/2026
PO1147,INV5154,48,35.52,13/06/2026
PO1148,INV5155,159,11.36,20/05/2026
PO1149,INV5156,46,139.04,16/05/2026
PO1149,INV5157,46,139.04,21/05/2026
PO1150,INV5158,288,48.84,13/02/2026
PO1151,INV5159,40,37.35,12/02/2026
PO1152,INV5160,249,139.29,25/02/2026
PO1153,INV5161,286,101.29,25/05/2026
PO1154,INV5162,319,53.82,13/04/2026
PO1155,INV5163,310,190.4,13/06/2026
PO1156,INV5164,400,152.47,11/02/2026
PO1157,INV5165,479,59.24,16/05/2026
PO1158,INV5166,56,96.65,22/05/2026
PO1159,INV5167,449,36.36,21/02/2026
PO1160,INV5168,426,153.3,03/05/2026
PO1161,INV5169,139,68.04,13/04/2026
PO1162,INV5170,346,174.53,28/01/2026
PO1163,INV5171,275,75.55,19/03/2026
PO1164,INV5172,399,17.1,07/05/2026
PO1165,INV5173,460,141.16,29/04/2026
PO1166,INV5174,373,35.88,11/03/2026
PO1167,INV5175,57,48.82,08/05/2026
PO1168,INV5176,265,186.87,12/03/2026
PO1169,INV5177,222,167.77,02/04/2026
PO1170,INV5178,84,79.8,20/06/2026
PO1171,INV5179,452,20.76,01/03/2026
PO1171,INV5180,452,20.76,06/03/2026
PO1172,INV5181,146,165.01,29/05/2026
PO1173,INV5182,347,100.48,26/06/2026
PO1174,INV5183,186,69.83,26/05/2026
PO1175,INV5184,455,41.79,12/04/2026
PO1176,INV5185,129,205.3,18/04/2026
PO1176,INV5186,129,205.3,19/04/2026
PO1177,INV5187,371,183.12,21/05/2026
PO1178,INV5188,263,193.14,07/03/2026
PO1179,INV5189,455,24.57,05/04/2026
PO1180,INV5190,17,145.88,16/05/2026
PO1181,INV5191,410,193.99,27/05/2026
PO1182,INV5192,446,69.07,08/02/2026
PO1183,INV5193,456,110.5,14/05/2026
PO1184,INV5194,126,150.62,27/03/2026
PO1185,INV5195,237,42.42,10/02/2026
PO1186,INV5196,417,15.94,19/04/2026
PO1187,INV5197,135,108.58,27/02/2026
PO1188,INV5198,50,141.85,02/03/2026
PO1189,INV5199,83,50.28,21/06/2026
PO1190,INV5200,351,6.83,30/03/2026
PO1191,INV5201,90,19.4,12/06/2026
PO1192,INV5202,363,60.21,10/05/2026
PO1193,INV5203,64,51.26,21/05/2026
PO1194,INV5204,368,62.57,08/04/2026
PO1195,INV5205,299,173.69,16/01/2026
PO1196,INV5206,436,181.31,24/05/2026
PO1197,INV5207,122,129.14,15/04/2026
PO1198,INV5208,331,23.95,13/02/2026
PO1199,INV5209,27,118.02,04/05/2026
PO1200,INV5210,177,150.76,02/04/2026
PO1201,INV5211,458,194.44,18/06/2026
PO1202,INV5212,141,183.24,04/03/2026
PO1203,INV5213,421,27.46,14/04/2026
PO1204,INV5214,443,161.89,25/04/2026
PO1205,INV5215,145,109.63,30/01/2026
PO1206,INV5216,309,79.3,28/03/2026
PO1207,INV5217,251,11.08,17/03/2026
PO1208,INV5218,341,17.33,20/03/2026
PO1209,INV5219,69,32.26,01/05/2026
PO1210,INV5220,59,50.79,16/02/2026
PO1211,INV5221,199,135.74,22/05/2026
PO1212,INV5222,463,85.9,04/03/2026
PO1213,INV5223,490,190.55,02/05/2026
PO1214,INV5224,237,190.36,06/05/2026
PO1215,INV5225,288,180.83,22/04/2026
PO1216,INV5226,151,42.01,07/05/2026
PO1217,INV5227,338,129.7,07/03/2026
PO1218,INV5228,74,158.46,19/03/2026
PO1219,INV5229,310,52.95,20/03/2026
PO1220,INV5230,151,172.39,17/01/2026
PO1221,INV5231,418,39.03,20/03/2026
PO1222,INV5232,193,159.05,29/01/2026
PO1223,INV5233,145,15.22,07/03/2026
PO1224,INV5234,391,17.39,17/02/2026
PO1225,INV5235,241,103.25,07/02/2026
PO1226,INV5236,164,94.32,25/05/2026
PO1227,INV5237,228,138.79,11/05/2026
PO1228,INV5238,174,123.62,07/02/2026
PO1228,INV5239,174,123.62,11/02/2026
PO1229,INV5240,290,143.87,21/06/2026
PO1230,INV5241,268,123.06,12/05/2026
PO1231,INV5242,379,173.77,18/06/2026
PO1232,INV5243,183,166.35,05/05/2026
PO1233,INV5244,170,88.22,12/02/2026
PO1234,INV5245,361,184.98,22/02/2026
PO1234,INV5246,361,184.98,24/02/2026
PO1235,INV5247,231,23.83,19/02/2026
PO1236,INV5248,40,119.36,11/06/2026
PO1237,INV5249,220,73.95,21/02/2026
PO1238,INV5250,157,122.08,28/01/2026
PO1239,INV5251,118,35.17,24/05/2026
PO1239,INV5252,118,35.17,28/05/2026
PO1240,INV5253,442,113.47,23/04/2026
PO1241,INV5254,423,88.68,09/03/2026
PO1242,INV5255,24,40.18,30/03/2026
PO1243,INV5256,13,40.37,26/04/2026
PO1244,INV5257,389,128.47,23/02/2026
PO1245,INV5258,120,78.36,08/06/2026
PO1246,INV5259,169,154.32,13/04/2026
PO1247,INV5260,90,152.11,18/02/2026
PO1248,INV5261,348,102.62,14/05/2026
PO1249,INV5262,120,152.21,29/03/2026
PO1250,INV5263,155,145.19,25/02/2026
PO1251,INV5264,33,48,02/04/2026
PO1252,INV5265,164,189.34,13/03/2026
PO1252,INV5266,164,189.34,17/03/2026
PO1253,INV5267,177,28.4,10/04/2026
PO1254,INV5268,204,108.85,02/03/2026
PO1255,INV5269,46,82.43,08/04/2026
PO1256,INV5270,245,184.63,27/01/2026
PO1257,INV5271,373,150.21,02/05/2026
PO1258,INV5272,176,38.52,04/02/2026
PO1259,INV5273,55,90.16,21/04/2026
PO1260,INV5274,215,107.17,22/06/2026
PO1261,INV5275,123,69.95,05/04/2026
PO1262,INV5276,281,104.44,22/02/2026
PO1263,INV5277,130,25.05,24/02/2026
PO1264,INV5278,399,153.03,22/02/2026
PO1265,INV5279,247,152.12,01/06/2026
PO1266,INV5280,339,128.88,18/06/2026
PO1267,INV5281,87,90.75,11/04/2026
PO1268,INV5282,417,58.56,13/04/2026
PO1269,INV5283,168,95.04,29/01/2026
PO1270,INV5284,49,130.71,09/04/2026
PO1271,INV5285,307,113.09,13/05/2026
PO1272,INV5286,343,41.71,26/06/2026
PO1273,INV5287,500,17.07,05/03/2026
PO1274,INV5288,268,130.99,10/02/2026
PO1275,INV5289,234,107.19,04/05/2026
PO1276,INV5290,479,60.16,25/04/2026
PO1277,INV5291,414,128.02,25/01/2026
PO1278,INV5292,295,137.28,13/02/2026
PO1279,INV5293,180,20.89,24/02/2026
PO1280,INV5294,345,141.2,05/04/2026
PO1280,INV5295,345,141.2,08/04/2026
PO1281,INV5296,168,121.66,11/02/2026
PO1282,INV5297,57,130.97,11/06/2026
PO1283,INV5298,195,70.43,23/01/2026
PO1284,INV5299,125,200,01/03/2026
PO1285,INV5300,269,155.32,19/02/2026
PO1286,INV5301,458,154.43,19/04/2026
PO1287,INV5302,102,192.45,28/02/2026
PO1288,INV5303,32,85.12,11/05/2026
PO1289,INV5304,395,150.96,30/03/2026
PO1290,INV5305,168,193.29,17/03/2026
PO1291,INV5306,235,95.03,23/06/2026
PO1292,INV5307,224,193.42,27/05/2026
PO1293,INV5308,338,98.72,25/01/2026
PO1294,INV5309,445,29.31,30/05/2026
PO1295,INV5310,473,105.1,10/05/2026
PO1296,INV5311,462,73.17,15/05/2026
PO1297,INV5312,267,77.92,28/04/2026
PO1298,INV5313,24,67.14,18/03/2026
PO1299,INV5314,29,60.94,17/02/2026
PO1300,INV5315,239,124.99,14/05/2026
PO1301,INV5316,437,38.28,28/03/2026
PO1302,INV5317,407,61.18,15/02/2026
PO1303,INV5318,224,129.6,25/03/2026
PO1304,INV5319,438,181.5,11/02/2026
PO1305,INV5320,304,52.18,31/05/2026
PO1306,INV5321,324,73.8,29/01/2026
PO1307,INV5322,278,195.06,16/02/2026
PO1308,INV5323,412,197.72,19/05/2026
PO1309,INV5324,32,128.96,24/05/2026
PO1310,INV5325,192,158.76,22/01/2026
PO1311,INV5326,405,118.47,13/02/2026
PO1312,INV5327,190,111.47,26/01/2026
PO1313,INV5328,366,98.31,18/05/2026
PO1314,INV5329,28,62.22,16/05/2026
PO1315,INV5330,487,65.46,17/04/2026
PO1316,INV5331,395,146.4,31/01/2026
PO1317,INV5332,149,29.27,15/04/2026
PO1318,INV5333,468,191.51,12/05/2026
PO1319,INV5334,198,185.24,25/05/2026
PO1320,INV5335,50,93.93,07/05/2026
PO1321,INV5336,50,68.94,15/02/2026
PO1322,INV5337,95,139.5,14/05/2026
PO1323,INV5338,324,199.64,10/04/2026
PO1324,INV5339,196,105.05,03/05/2026
PO1325,INV5340,444,135.2,18/02/2026
PO1326,INV5341,130,156.81,10/02/2026
PO1327,INV5342,26,122.99,15/06/2026
PO1328,INV5343,237,153.8,18/04/2026
PO1329,INV5344,213,66.31,20/04/2026
PO1330,INV5345,386,41.28,02/02/2026
PO1331,INV5346,144,156.12,27/02/2026
PO1332,INV5347,365,216.2,02/04/2026
PO1333,INV5348,446,19.44,27/02/2026
PO1334,INV5349,351,72.75,07/04/2026
PO1335,INV5350,374,143.36,23/02/2026
PO1336,INV5351,124,28.67,28/05/2026
PO1337,INV5352,23,75.37,29/05/2026
PO1338,INV5353,76,124.33,05/06/2026
PO1339,INV5354,377,145.18,05/05/2026
PO1340,INV5355,47,34.38,07/06/2026
PO1341,INV5356,358,105.89,16/05/2026
PO1342,INV5357,267,182.59,09/05/2026
PO1343,INV5358,165,37.11,28/02/2026
PO1344,INV5359,468,60.39,04/06/2026
PO1345,INV5360,150,29.41,04/06/2026
PO1346,INV5361,313,188.61,28/02/2026
PO1347,INV5362,441,185.17,11/04/2026
PO1348,INV5363,495,130.08,04/02/2026
PO1349,INV5364,402,116.57,02/03/2026
PO1350,INV5365,158,130.17,13/06/2026
PO1351,INV5366,162,93.44,22/04/2026
PO1352,INV5367,222,99.43,09/05/2026
PO1353,INV5368,170,172.99,01/03/2026
PO1354,INV5369,399,77.26,14/02/2026
PO1355,INV5370,248,28.89,17/03/2026
PO1356,INV5371,35,61.59,16/02/2026
PO1357,INV5372,426,68.85,04/03/2026
PO1358,INV5373,265,199.21,05/03/2026
PO1359,INV5374,21,22.56,08/06/2026
PO1360,INV5375,120,118.75,17/03/2026
PO1361,INV5376,315,189.7,29/05/2026
PO1362,INV5377,14,170.2,31/05/2026
PO1363,INV5378,401,83.63,29/04/2026
PO1364,INV5379,297,42.96,11/06/2026
PO1365,INV5380,268,92.82,30/04/2026
PO1366,INV5381,75,195.14,21/02/2026
PO1367,INV5382,490,76.29,06/06/2026
PO1368,INV5383,215,102.52,27/05/2026
PO1369,INV5384,421,97.38,08/04/2026
PO1370,INV5385,81,79.62,28/05/2026
PO1371,INV5386,325,149.17,01/05/2026
PO1372,INV5387,282,100.52,27/05/2026
PO1373,INV5388,198,69.59,27/01/2026
PO1374,INV5389,417,180.26,03/04/2026
PO1375,INV5390,145,193.58,16/05/2026
PO1376,INV5391,308,98.69,07/02/2026
PO1377,INV5392,26,116.65,21/03/2026
PO1378,INV5393,235,75.82,31/01/2026
PO1379,INV5394,220,102.85,18/03/2026
PO1380,INV5395,371,34.08,03/02/2026
PO1381,INV5396,279,78.48,30/05/2026
PO1382,INV5397,289,85.1,19/04/2026
PO1383,INV5398,108,191.68,21/05/2026
PO1384,INV5399,404,65.35,12/04/2026
PO1385,INV5400,188,114.3,19/05/2026
PO1386,INV5401,303,136.94,23/02/2026
PO1387,INV5402,158,13.2,18/02/2026
PO1388,INV5403,345,55.01,14/05/2026
PO1389,INV5404,148,186.94,09/06/2026
PO1390,INV5405,325,149.47,11/02/2026
PO1391,INV5406,125,129.4,25/05/2026
PO1392,INV5407,377,107.47,08/04/2026
PO1393,INV5408,485,35.8,14/06/2026
PO1394,INV5409,397,203.42,08/03/2026
PO1395,INV5410,474,154.9,30/01/2026
PO1396,INV5411,477,184.69,23/01/2026
PO1397,INV5412,413,114.49,02/05/2026
PO1398,INV5413,162,115.75,28/01/2026
PO1399,INV5414,338,110.94,13/05/2026
PO1400,INV5415,149,42.6,21/05/2026
PO1401,INV5416,341,63.34,04/05/2026
PO1402,INV5417,414,62.53,10/04/2026
PO1403,INV5418,433,88.4,01/05/2026
PO1404,INV5419,104,212.69,14/02/2026
PO1405,INV5420,143,79.8,17/01/2026
PO1406,INV5421,308,145.96,11/04/2026
PO1407,INV5422,364,51.08,21/04/2026
PO1408,INV5423,91,84.06,10/04/2026
PO1409,INV5424,337,183.65,19/02/2026
PO1410,INV5425,122,191.69,13/03/2026
PO1411,INV5426,222,141.88,19/04/2026
PO1412,INV5427,279,92.12,16/02/2026
PO1413,INV5428,67,17.04,19/06/2026
PO1414,INV5429,284,34.22,18/06/2026
PO1415,INV5430,358,45.05,21/02/2026
PO1416,INV5431,238,162.69,24/05/2026
PO1417,INV5432,243,127.17,11/05/2026
PO1418,INV5433,380,9.25,26/03/2026
PO1419,INV5434,306,19.24,21/03/2026
PO1420,INV5435,287,198.85,11/02/2026
PO1421,INV5436,219,40.1,03/04/2026
PO1422,INV5437,239,174.58,30/04/2026
PO1423,INV5438,78,132.44,02/06/2026
PO1424,INV5439,211,108.12,31/05/2026
PO1425,INV5440,162,95.29,28/01/2026
PO1426,INV5441,431,49.78,28/04/2026
PO1427,INV5442,106,187.8,26/03/2026
PO1428,INV5443,324,154.38,02/05/2026
PO1429,INV5444,61,130.35,27/01/2026
PO1430,INV5445,215,90.6,26/01/2026
PO1431,INV5446,267,198.73,24/02/2026
PO1432,INV5447,131,73.97,19/04/2026
PO1433,INV5448,163,58.66,03/05/2026
PO1434,INV5449,294,101.65,12/05/2026
PO1435,INV5450,366,86.18,10/04/2026
PO1436,INV5451,396,109.9,03/03/2026
PO1437,INV5452,422,95.29,03/03/2026
PO1438,INV5453,281,31.15,14/06/2026
PO1439,INV5454,341,20.42,14/04/2026
PO1440,INV5455,380,166.73,01/06/2026
PO1441,INV5456,457,19.19,24/01/2026
PO1442,INV5457,455,181.87,10/03/2026
PO1443,INV5458,389,27.88,13/03/2026
PO1444,INV5459,213,183.45,17/03/2026
PO1445,INV5460,248,109.06,30/04/2026
PO1446,INV5461,272,177.15,19/04/2026
PO1447,INV5462,399,168.75,18/05/2026
PO1447,INV5463,399,168.75,23/05/2026
PO1448,INV5464,33,114.69,01/05/2026
PO1449,INV5465,293,187.28,02/04/2026
PO1450,INV5466,110,69.32,01/03/2026
PO1451,INV5467,345,188.98,05/06/2026
PO1452,INV5468,245,44.93,23/05/2026
PO1453,INV5469,260,40.89,02/06/2026
PO1454,INV5470,439,170.11,21/01/2026
PO1455,INV5471,80,169.3,29/04/2026
PO1456,INV5472,14,47.65,03/03/2026
PO1457,INV5473,347,100.13,23/05/2026
PO1458,INV5474,281,145.83,20/01/2026
PO1459,INV5475,426,141.08,24/05/2026
PO1460,INV5476,278,34.04,18/02/2026
PO1461,INV5477,146,160.01,20/04/2026
PO1461,INV5478,146,160.01,21/04/2026
PO1462,INV5479,299,52.43,17/05/2026
PO1463,INV5480,344,198.38,29/01/2026
PO1464,INV5481,204,78.55,27/04/2026
PO1465,INV5482,369,38.42,26/01/2026
PO1466,INV5483,299,195.58,23/04/2026
PO1467,INV5484,118,180.75,22/03/2026
PO1468,INV5485,483,19.5,24/01/2026
PO1469,INV5486,18,192.49,04/04/2026
PO1470,INV5487,485,20,29/04/2026
PO1470,INV5488,485,20,01/05/2026
PO1471,INV5489,356,179.82,28/04/2026
PO1472,INV5490,414,197.75,19/02/2026
PO1473,INV5491,37,24.05,13/04/2026
PO1474,INV5492,406,68.64,28/04/2026
PO1475,INV5493,126,74.38,26/05/2026
PO1476,INV5494,348,79.11,16/06/2026
PO1477,INV5495,52,57.25,01/02/2026
PO1478,INV5496,172,75.34,22/04/2026
PO1479,INV5497,194,153.46,05/05/2026
PO1480,INV5498,230,92.52,15/03/2026
PO1481,INV5499,23,22.48,05/02/2026
PO1482,INV5500,452,80.12,20/04/2026
PO1483,INV5501,381,180.72,13/02/2026
PO1484,INV5502,96,32.07,22/04/2026
PO1485,INV5503,42,37.61,26/02/2026
PO1486,INV5504,410,20,17/05/2026
PO1487,INV5505,314,125.25,20/05/2026
PO1488,INV5506,13,190.02,11/04/2026
PO1489,INV5507,181,88.97,08/05/2026
PO1490,INV5508,318,189.72,19/04/2026
PO1491,INV5509,213,193.9,08/03/2026
PO1492,INV5510,176,78.33,22/03/2026
PO1492,INV5511,176,78.33,26/03/2026
PO1493,INV5512,112,120.48,07/06/2026
PO1493,INV5513,112,120.48,08/06/2026
PO1494,INV5514,23,190.84,06/06/2026
PO1495,INV5515,435,140.1,09/04/2026
PO1496,INV5516,133,54.27,14/04/2026
PO1497,INV5517,239,198.19,06/02/2026
PO1498,INV5518,482,184.48,03/06/2026
PO1498,INV5519,482,184.48,06/06/2026
PO1499,INV5520,414,193.84,23/01/2026
PO1500,INV5521,346,134.62,19/03/2026
PO1501,INV5522,395,69.66,23/04/2026
PO1502,INV5523,142,48.29,24/02/2026
PO1503,INV5524,362,117.17,16/06/2026
PO1504,INV5525,405,137.51,24/05/2026
PO1505,INV5526,22,99.14,27/04/2026
PO1506,INV5527,435,188.43,16/02/2026
PO1507,INV5528,243,157.93,23/04/2026
PO1508,INV5529,59,90.44,29/05/2026
PO1509,INV5530,163,13.71,28/01/2026
PO1510,INV5531,341,26.33,14/04/2026
PO1511,INV5532,292,36.23,06/03/2026
PO1512,INV5533,418,83.98,12/03/2026
PO1513,INV5534,212,10.69,09/05/2026
PO1514,INV5535,209,5.87,06/05/2026
PO1515,INV5536,305,24.84,29/01/2026
PO1516,INV5537,110,94.22,22/04/2026
PO1517,INV5538,315,80.78,03/04/2026
PO1518,INV5539,442,94.28,25/04/2026
PO1519,INV5540,354,31.12,10/02/2026
PO1520,INV5541,103,77.79,27/02/2026
PO1521,INV5542,315,31.88,08/05/2026
PO1522,INV5543,335,109.79,21/05/2026
PO1523,INV5544,260,61.32,01/03/2026
PO1524,INV5545,453,75.01,09/02/2026
PO1525,INV5546,427,79.87,13/03/2026
PO1526,INV5547,219,138.52,30/05/2026
PO1527,INV5548,52,115.25,02/03/2026
PO1528,INV5549,150,48.84,22/01/2026
PO1529,INV5550,390,155.65,19/06/2026
PO1530,INV5551,68,67.42,18/06/2026
PO1531,INV5552,399,145.2,26/01/2026
PO1532,INV5553,386,166.86,18/02/2026
PO1533,INV5554,240,56.25,29/01/2026
PO1534,INV5555,117,163.09,20/03/2026
PO1535,INV5556,94,125.15,11/05/2026
PO1536,INV5557,189,108.79,13/06/2026
PO1537,INV5558,158,116.68,25/03/2026
PO1538,INV5559,480,16.56,29/04/2026
PO1539,INV5560,137,33.52,19/02/2026
PO1540,INV5561,260,38.6,27/04/2026
PO1541,INV5562,202,93.14,29/04/2026
PO1542,INV5563,393,59.25,03/06/2026
PO1543,INV5564,307,5.48,07/04/2026
PO1544,INV5565,335,134.51,11/05/2026
PO1545,INV5566,121,193.79,11/05/2026
PO1546,INV5567,434,60.3,06/04/2026
PO1547,INV5568,413,72.03,13/05/2026
PO1548,INV5569,330,157.86,10/02/2026
PO1549,INV5570,235,111.9,26/02/2026
PO1550,INV5571,461,131.75,19/02/2026
PO1551,INV5572,138,21.07,16/04/2026
PO1552,INV5573,330,64.57,28/04/2026
PO1553,INV5574,370,27.3,23/02/2026
PO1554,INV5575,313,49.11,25/02/2026
PO1555,INV5576,366,72,24/01/2026
PO1556,INV5577,254,22.5,13/02/2026
PO1557,INV5578,62,66.1,14/02/2026
PO1558,INV5579,338,198.62,14/02/2026
PO1559,INV5580,14,124.01,14/06/2026
PO1560,INV5581,331,150.91,20/03/2026
PO1561,INV5582,469,24.59,07/02/2026
PO1562,INV5583,189,192.83,20/04/2026
PO1563,INV5584,340,21.43,02/04/2026
PO1564,INV5585,444,170.18,24/01/2026
PO1564,INV5586,444,170.18,25/01/2026
PO1565,INV5587,106,169.44,26/05/2026
PO1566,INV5588,207,26.99,24/05/2026
PO1567,INV5589,194,187.12,23/01/2026
PO1568,INV5590,197,111.54,16/05/2026
PO1569,INV5591,310,18.17,21/01/2026
PO1570,INV5592,495,168.37,08/02/2026
PO1571,INV5593,402,86.01,27/05/2026
PO1572,INV5594,285,125.13,03/06/2026
PO1573,INV5595,271,184.58,15/02/2026
PO1574,INV5596,334,153.83,09/06/2026
PO1575,INV5597,383,190.92,30/04/2026
PO1576,INV5598,483,89.72,01/02/2026
PO1576,INV5599,483,89.72,05/02/2026
PO1577,INV5600,71,7.47,21/02/2026
PO1577,INV5601,71,7.47,26/02/2026
PO1578,INV5602,497,72.61,24/05/2026
PO1579,INV5603,74,151.21,15/04/2026
PO1580,INV5604,423,88.72,08/04/2026
PO1581,INV5605,331,20.03,25/06/2026
PO1582,INV5606,265,172.58,04/02/2026
